SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,LANDAREA_AVG,LIVINGAREA_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,LIVINGAREA_MODE,NONLIVINGAREA_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_11,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
247408,0,Cash loans,F,Y,N,2,108000.0,172512.0,13477.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.016612,-12665,-2719,-6816.0,-4365,0,1,0,0,Laborers,4.0,2,2,TUESDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.3955847670427957,0.7391046089557364,0.7910749129911773,0.1371,0.0554,0.9781,0.16,0.1379,0.3333,0.0579,0.1299,0.0714,0.1397,0.0575,0.9782,0.1354,0.0756,block of flats,0.1484,"Stone, brick",No,1.0,1.0,1.0,-2622.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
153916,0,Revolving loans,F,Y,Y,2,135000.0,180000.0,9000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.0072739999999999,-12748,-471,-747.0,-4880,0,1,0,0,Cooking staff,4.0,2,2,TUESDAY,10,0,0,0,0,1,1,Restaurant,,0.5652092295106195,0.5656079814115492,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
229065,0,Cash loans,F,N,Y,0,112500.0,463500.0,20547.0,Family,Pensioner,Secondary / secondary special,Widow,House / apartment,0.026392,-23441,365243,-14237.0,-4634,0,1,0,0,,1.0,2,2,THURSDAY,11,0,0,0,0,0,0,XNA,,0.6427214865316639,0.5316861425197883,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,-1285.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,7.0
282013,0,Cash loans,F,N,Y,0,135000.0,549882.0,17739.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.019101,-22793,365243,-690.0,-4478,0,1,0,0,,1.0,2,2,WEDNESDAY,12,0,0,0,0,0,0,XNA,,0.3317501680295368,0.5316861425197883,0.057,0.0273,0.9935,0.08,0.0459,0.2358,0.0147,0.0617,0.0208,0.0546,0.0,0.9891,0.027,0.0152,block of flats,0.0383,"Stone, brick",No,5.0,1.0,0.0,-177.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
142266,0,Cash loans,F,N,Y,0,90000.0,518562.0,20695.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-13829,-631,-4822.0,-1803,0,1,0,0,Sales staff,2.0,2,2,TUESDAY,12,0,0,0,0,0,0,Trade: type 7,0.390982510999103,0.6275151016376028,0.324891229465852,0.0165,,0.9851,0.0,0.069,0.0417,,0.0112,0.0,0.0168,,0.9851,0.0117,0.0,block of flats,0.0088,Block,No,0.0,0.0,0.0,-718.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
330221,0,Cash loans,F,Y,N,0,157500.0,550980.0,40221.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.006233,-19423,-680,-5690.0,-2955,0,1,0,0,Cleaning staff,2.0,2,2,THURSDAY,16,0,0,0,0,0,0,Bank,,0.5480601320633717,,0.0825,0.0564,0.9866,0.08,0.069,0.375,,0.0838,0.0,0.084,0.0585,0.9866,0.0873,0.0,block of flats,0.0768,Panel,No,0.0,0.0,0.0,-2020.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
171519,0,Cash loans,F,N,Y,0,126000.0,770292.0,35824.5,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.010032,-13191,-2910,-3309.0,-4403,0,1,1,0,Laborers,2.0,2,2,TUESDAY,7,0,0,0,0,0,0,Business Entity Type 3,0.7200246348493619,0.4694472480075251,0.475849908720221,0.0825,0.0808,0.9757,0.0,0.1379,0.1667,,0.0594,,0.084,0.0833,0.9757,0.0492,,block of flats,0.0551,"Stone, brick",No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
385229,0,Cash loans,F,N,Y,0,270000.0,532494.0,30699.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.011657,-15181,-350,-9208.0,-3202,0,1,1,0,Managers,2.0,1,1,THURSDAY,13,1,1,0,0,0,0,Trade: type 7,0.3093584678484739,0.6854072000170753,0.6263042766749393,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-2062.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
273675,0,Cash loans,F,N,Y,0,112500.0,458725.5,17707.5,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.02461,-23737,365243,-1447.0,-3904,0,1,0,0,,2.0,2,2,THURSDAY,14,0,0,0,0,0,0,XNA,,0.4751425510929402,0.6279908192952864,0.0062,0.0,0.9518,0.0,0.0345,0.0,0.0213,0.0059,0.0,0.0063,0.0,0.9518,0.0061,0.0,terraced house,0.0103,Wooden,Yes,0.0,0.0,0.0,-1118.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
171005,0,Cash loans,M,Y,Y,0,135000.0,175896.0,9108.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.003813,-15372,-766,-2670.0,-4426,0,1,0,0,High skill tech staff,2.0,2,2,FRIDAY,8,0,0,0,0,1,1,School,,0.0369438897056225,,0.0825,0.0769,0.9771,0.0,0.1379,0.1667,,0.0694,,0.084,0.0798,0.9772,0.0723,,block of flats,0.0581,Block,No,0.0,0.0,0.0,-21.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
